,id,hip,hd,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,con,comp,comp_primary,lum
68610,68610,68831.0,122918.0,14.094033,-39.270019,177.6199,20.71,7.21,0.0,9.47,3.2230000000000003,G3V,0.581,-117.357155,-71.664652,-112.42911000000001,5.94e-06,-1.727e-05,4.81e-06,3.689809137542991,-0.6853911321431725,1.0040491324305557e-07,3.4955066e-08,Cen,1,68610,4.475071720476559
68624,68624,68844.0,122999.0,14.096582000000001,-33.697719,195.6947,-41.27,-63.16,0.0,8.65,2.1919999999999997,F3/F5V,0.501,-138.897279,-84.945441,-108.573633,7.93e-06,5.074e-05,-4.985e-05,3.6904766222771976,-0.5881361513228001,-2.0008260596527782e-07,-3.0620832e-07,Cen,1,68624,11.566447741656456
68635,68635,68855.0,123103.0,14.099267999999999,-13.073668,429.1845,-31.62,-8.68,0.0,9.02,0.857,A8V,0.35,-356.49663,-218.36748300000002,-97.083109,-3.088e-05,5.823e-05,-1.759e-05,3.691179827641749,-0.22817855821598626,-1.5329808579166668e-07,-4.2081827e-08,Vir,1,68635,39.55487350555622
68652,68652,68872.0,123004.0,14.103029999999999,-43.091702000000005,131.2336,-6.7,-34.15,22.0,6.18,0.59,G8III,0.986,-81.672989,-50.138419,-89.654733,-3.58e-06,2.8e-06,-3.124e-05,3.69216461377798,-0.7520920836838711,-3.248251659722223e-08,-1.65563871e-07,Cen,1,68652,50.582466200311394
68668,68668,68888.0,123177.0,14.104937,-8.891617,118.4834,-0.8,19.89,11.7,6.54,1.172,A0,0.018000000000000002,-99.730609,-61.29243100000001,-18.313502,-1.182e-05,-6.72e-06,9.44e-06,3.692663775063042,-0.15518799724239124,-3.878509444444444e-09,9.6429441e-08,Vir,1,68668,29.59374995343389
68681,68681,68901.0,123254.0,14.106935,7.0047820000000005,273.224,22.12,-20.18,0.0,7.15,-0.033,K0,1.1,-230.96527799999998,-142.113176,33.320262,1.258e-05,-2.666e-05,-2.653e-05,3.693187011356879,0.12225650294025,1.0724078613888891e-07,-9.783539999999998e-08,Vir,1,68681,89.78421709097269
68700,68700,68920.0,123090.0,14.109349,-39.914999,104.8218,-89.27,-2.19,0.0,8.78,3.678,G0V,0.5920000000000001,-68.44761700000001,-42.175428000000004,-67.258953,-2.319e-05,3.899e-05,-8.5e-07,3.6938188770597393,-0.6966481449024162,-4.3279317263194435e-07,-1.0617419e-08,Cen,1,68700,2.943065989699013
68716,68716,68935.0,123408.0,14.111557000000001,34.778566999999995,127.3885,15.85,-4.12,-3.4,7.02,1.494,K0,1.015,-89.047725,-54.939834,72.66319200000001,6.34e-06,-7.59e-06,-4.07e-06,3.6943970723759727,0.6070005012246737,7.684296836805555e-08,-1.9974323e-08,CVn,1,68716,21.99885109049249
68732,68732,68952.0,123324.0,14.114982000000001,0.952917,367.6471,-26.6,-52.74,0.0,7.95,0.12300000000000001,K0,1.183,-312.671581,-193.296374,6.114258,-2.626e-05,3.95e-05,-9.398e-05,3.695293617596159,0.01663154470606875,-1.2896043902777775e-07,-2.55690735e-07,Vir,1,68732,77.76783344557053
68745,68745,68965.0,123244.0,14.118744,-31.400365999999998,126.2626,-56.08,-12.73,0.0,7.7,2.194,F3V,0.392,-91.612577,-56.760468,-65.784719,-1.463e-05,3.132e-05,-6.65e-06,3.696278626019269,-0.5480397740218337,-2.7188351205555557e-07,-6.1716781e-08,Cen,1,68745,11.545161169214305
