,id,hip,hd,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,con,comp,comp_primary,lum
99191,99191,99509.0,190938.0,20.195408999999998,-66.830517,76.6284,-48.92,-64.14,0.0,9.46,5.038,G8V,0.8,16.390174,-25.305372,-70.447939,-2.716e-05,8.51e-06,-9.37e-06,5.2871456147550395,-1.1664125548955724,-2.371708525277778e-07,-3.1095949400000004e-07,Pav,1,99191,0.8410077540692327
99321,99321,99640.0,193138.0,20.221795,71.108406,192.6782,15.77,27.51,0.0,7.81,1.386,F0,0.36700000000000005,34.275406,-52.12576,182.299178,-1.05e-06,2.841e-05,8.32e-06,5.2940535619822775,1.2410758040071264,7.645511742361112e-08,1.3337224300000002e-07,Dra,1,99321,24.29964897703229
99456,99456,99775.0,192849.0,20.243076000000002,54.519090000000006,243.9024,16.36,58.12,0.0,8.29,1.354,A5V,0.155,78.43790899999999,-117.85238799999999,198.611908,-1.49e-05,5.73e-05,3.989e-05,5.299624971010784,0.9515376245199711,7.931551813888887e-08,2.8177371100000003e-07,Cyg,1,99456,25.026493257310786
99603,99603,99923.0,192871.0,20.273789,22.396459,250.0,-0.73,-13.53,0.0,7.17,0.18,F3II,0.331,129.610246,-191.384407,95.253309,2.77e-06,-5.67e-06,-1.516e-05,5.307665419032527,0.3908919530412125,-3.539139868055555e-09,-6.559528999999999e-08,Vul,1,99603,73.79042301291011
99735,99735,100056.0,193097.0,20.299242,16.009304999999998,507.6142,-6.03,-14.85,32.7,8.25,-0.278,K5,1.61,276.285475,-402.168766,139.99676100000002,1.168e-05,-4.321e-05,-2.59e-05,5.3143291882001815,0.27941508804522874,-2.9234264937500007e-08,-7.199483099999999e-08,Del,1,99735,112.51229929657671
99880,99880,100203.0,193631.0,20.324102,45.21504,170.068,4.97,9.34,-21.0,7.7,1.547,K0,1.063,68.479341,-98.3034,120.706595,-8.41e-06,1.924e-05,-9.82e-06,5.320837500833349,0.7891513182139738,2.4095239923611107e-08,4.5281596999999995e-08,Cyg,1,99880,20.950770523651798
100006,100006,100331.0,193212.0,20.347219,-43.604125,302.1148,-7.89,-36.47,0.0,9.89,2.489,G1/G2V,0.597,126.130788,-178.746966,-208.360022,-3.068e-05,2.344e-05,-3.868e-05,5.326889461296755,-0.7610355551010537,-3.8251799395833335e-08,-1.76811549e-07,Sgr,1,100006,8.798324994418664
100149,100149,100475.0,194096.0,20.375615,34.990722999999996,109.4092,21.44,-22.54,0.0,6.86,1.665,A0,0.064,52.220921999999995,-72.849416,62.740027000000005,1.324e-05,1.05e-06,-9.79e-06,5.334323462510465,0.6107033258262238,1.0394405311111112e-07,-1.0927700300000002e-07,Cyg,1,100149,18.793168168032686
100282,100282,100609.0,194479.0,20.401557999999998,44.701082,160.7717,-13.58,40.0,-1.0,7.45,1.419,K1III-IV,1.08,67.20643100000001,-92.42245799999999,113.08811399999999,-2.188e-05,1.21e-05,2.144e-05,5.341115416920143,0.78018106084788,-6.583769781944446e-08,1.93925472e-07,Cyg,1,100282,23.572193636510068
100408,100408,100734.0,194453.0,20.42373,6.641808,209.205,3.31,-1.93,0.0,6.75,0.147,A0,-0.006,123.184372,-167.35245600000002,24.197064,2.84e-06,1.81e-06,-1.94e-06,5.346919958414162,0.11592142612709,1.6047332826388893e-08,-9.356904e-09,Del,1,100408,76.06765007662268
